Tiempo_s,fr_l,u
5260.683,0.656237959861755,8.5
5260.909,0.656237959861755,8.5
5261.135,0.656237959861755,8.5
5261.362,0.656237959861755,8.5
5261.589,0.656237959861755,8.5
5261.815,0.656237959861755,8.5
5262.042,0.656237959861755,8.5
5262.269,0.656237959861755,8.5
5262.496,0.652211964130402,8.5
5262.723,0.656237959861755,8.5
5262.949,0.656237959861755,8.5
5263.176,0.656237959861755,8.5
5263.404,0.656237959861755,8.5
5263.631,0.656237959861755,8.5
5263.859,0.656237959861755,8.5
5264.085,0.656237959861755,8.5
5264.312,0.656237959861755,8.5
5264.539,0.656237959861755,8.5
5264.766,0.656237959861755,8.5
5264.993,0.656237959861755,8.5
5265.22,0.656237959861755,8.5
5265.448,0.656237959861755,8.5
5265.675,0.656237959861755,8.5
5265.902,0.656237959861755,8.5
5266.129,0.656237959861755,8.5
5266.355,0.656237959861755,8.5
5266.582,0.656237959861755,85.0999984741211
5266.809,7.99563598632812,85.0999984741211
5267.036,8.06206512451172,85.0999984741211
5267.263,8.03992176055908,85.0999984741211
5267.49,8.11440277099609,85.0999984741211
5267.717,8.05200004577637,85.0999984741211
5267.943,8.05200004577637,85.0999984741211
5268.17,8.07213020324707,85.0999984741211
5268.397,8.05602550506592,85.0999984741211
5268.623,8.05602550506592,85.0999984741211
5268.849,8.05803871154785,85.0999984741211
5269.075,8.06005191802979,85.0999984741211
5269.301,8.06206512451172,85.0999984741211
5269.98,8.14258480072021,85.0999984741211
5270.207,8.06206512451172,85.0999984741211
5270.435,8.0681037902832,85.0999984741211
5270.662,8.10232448577881,85.0999984741211
5270.889,8.06609058380127,85.0999984741211
5271.117,8.05803871154785,92
5271.344,8.79077053070068,92
5271.57,8.84713459014893,92
5271.797,8.7847318649292,92
5272.023,8.78875827789307,92
5272.249,8.79077053070068,92
5272.476,8.78875827789307,38.5999984741211
5272.703,3.4543080329895,38.5999984741211
5272.93,3.58515286445618,75.4000015258789
5273.156,7.19043588638306,75.4000015258789
5273.383,7.08978605270386,75.4000015258789
5273.61,7.19244909286499,75.4000015258789
5273.836,7.17835807800293,75.4000015258789
5274.063,7.09179878234863,75.4000015258789
5274.29,7.24478673934937,75.4000015258789
5274.517,7.08978605270386,75.4000015258789
5274.743,7.09582471847534,75.4000015258789
5274.97,7.21459197998047,75.4000015258789
5275.197,7.09179878234863,75.4000015258789
5275.424,7.2306957244873,75.4000015258789
5275.651,7.09381198883057,75.4000015258789
5275.878,7.21660470962524,75.4000015258789
5276.105,7.09582471847534,75.4000015258789
5276.332,7.21257877349854,75.4000015258789
5276.559,7.09582471847534,75.4000015258789
5276.785,7.09582471847534,75.4000015258789
5277.012,7.25082588195801,75.4000015258789
5277.239,7.09381198883057,75.4000015258789
5277.466,7.25082588195801,75.4000015258789
5277.692,7.24881267547607,75.4000015258789
5277.92,7.09783792495728,75.4000015258789
5278.147,7.13205909729004,75.4000015258789
5278.373,7.09381198883057,75.4000015258789
5278.6,7.20050096511841,75.4000015258789
5278.827,7.09381198883057,75.4000015258789
5279.054,7.21861791610718,75.4000015258789
5279.281,7.09381198883057,75.4000015258789
5279.508,7.21660470962524,75.4000015258789
5279.734,7.25485181808472,75.4000015258789
5279.961,7.09582471847534,75.4000015258789
5280.188,7.26491689682007,75.4000015258789
5280.416,7.10186386108398,75.4000015258789
5280.642,7.1964750289917,33.2999992370605
5280.869,2.9631359577179,33.2999992370605
5281.096,3.06177282333374,33.2999992370605
5281.323,3.0134608745575,33.2999992370605
5281.551,3.05975985527039,39.5999984741211
5281.778,3.67775082588196,39.5999984741211
5282.005,3.52073693275452,39.5999984741211
5282.232,3.63749098777771,39.5999984741211
5282.459,3.53281497955322,39.5999984741211
5282.687,3.67976403236389,39.5999984741211
5282.914,3.67976403236389,39.5999984741211
5283.141,3.58313989639282,39.5999984741211
5283.368,2.31092405319214,16.2999992370605
5283.594,1.41111302375793,16.2999992370605
5283.821,1.41111302375793,16.2999992370605
5284.048,1.40909993648529,16.2999992370605
5284.274,1.40909993648529,16.2999992370605
5284.501,1.40909993648529,16.2999992370605
5284.728,1.40909993648529,16.2999992370605
5284.955,1.40909993648529,16.2999992370605
5285.181,1.40909993648529,16.2999992370605
5285.408,1.40909993648529,16.2999992370605
5285.635,1.40909993648529,16.2999992370605
5285.862,3.85086894035339,41.9000015258789
5286.09,3.72606301307678,41.9000015258789
5286.317,3.72405004501343,41.9000015258789
5286.543,3.72606301307678,41.9000015258789
5286.77,3.89716792106628,41.9000015258789
5286.997,3.78444004058838,41.9000015258789
5287.224,3.89716792106628,41.9000015258789
5287.451,3.72807598114014,41.9000015258789
5287.678,3.89716792106628,41.9000015258789
5287.905,3.80658292770386,41.9000015258789
5288.131,3.75223183631897,41.9000015258789
5288.358,3.89716792106628,41.9000015258789
5288.585,3.80255699157715,41.9000015258789
5288.812,3.85690784454346,41.9000015258789
5289.038,3.89716792106628,41.9000015258789
5289.264,3.89716792106628,41.9000015258789
5289.49,3.87301182746887,41.9000015258789
5289.717,3.76632285118103,41.9000015258789
5289.945,3.89716792106628,41.9000015258789
5290.172,3.89716792106628,41.9000015258789
5290.398,3.89515495300293,41.9000015258789
5290.624,3.89716792106628,41.9000015258789
5290.852,3.7341148853302,41.9000015258789
5291.08,3.73210191726685,41.9000015258789
5291.307,3.89515495300293,41.9000015258789
5291.534,3.89716792106628,41.9000015258789
5291.761,3.73008894920349,41.9000015258789
5291.987,3.79853081703186,41.9000015258789
5292.215,3.89716792106628,41.9000015258789
5292.441,3.78645300865173,41.9000015258789
5292.669,3.89716792106628,41.9000015258789
5292.897,3.89716792106628,41.9000015258789
5293.124,3.83879089355469,41.9000015258789
5293.351,3.77236199378967,41.9000015258789
5293.579,3.89515495300293,41.9000015258789
5293.806,3.89716792106628,41.9000015258789
5294.033,3.72606301307678,41.9000015258789
5294.261,3.89716792106628,41.9000015258789
5294.488,3.89716792106628,41.9000015258789
5294.715,3.72807598114014,41.9000015258789
5294.942,3.89716792106628,41.9000015258789
5295.169,3.77034902572632,41.9000015258789
5295.396,3.89716792106628,41.9000015258789
5295.622,3.89716792106628,72.3000030517578
5295.849,6.76971864700317,72.3000030517578
5296.076,6.92069387435913,72.3000030517578
5296.303,6.7878360748291,72.3000030517578
5296.53,6.95491504669189,72.3000030517578
5296.756,6.92673301696777,72.3000030517578
5296.984,6.79186201095581,72.3000030517578
5297.211,6.79186201095581,72.3000030517578
5297.438,6.91264200210571,72.3000030517578
5297.665,6.79186201095581,27.7000007629395
